Query number,Document
174249,output_82332.txt
174249,output_50131.txt
174249,output_48965.txt
174249,output_499651.txt
174249,output_68693.txt
174249,output_494183.txt
174249,output_465855.txt
174249,output_94044.txt
174249,output_67716.txt
174249,output_9055.txt
320792,output_75217.txt
320792,output_54367.txt
320792,output_501273.txt
320792,output_481720.txt
320792,output_486294.txt
320792,output_85081.txt
320792,output_472434.txt
320792,output_5276.txt
320792,output_470397.txt
320792,output_97344.txt
1090270,output_77675.txt
1090270,output_5204.txt
1090270,output_88168.txt
1090270,output_482756.txt
1090270,output_59557.txt
1090270,output_495181.txt
1090270,output_5512.txt
1090270,output_5357.txt
1090270,output_50986.txt
1090270,output_7423.txt
1101279,output_487521.txt
1101279,output_62218.txt
1101279,output_46973.txt
1101279,output_55432.txt
1101279,output_87026.txt
1101279,output_462985.txt
1101279,output_9205.txt
1101279,output_65211.txt
1101279,output_490932.txt
1101279,output_61102.txt
201376,output_49145.txt
201376,output_79246.txt
201376,output_487177.txt
201376,output_64287.txt
201376,output_490144.txt
201376,output_61059.txt
201376,output_463759.txt
201376,output_96506.txt
201376,output_463450.txt
201376,output_78406.txt
54544,output_52880.txt
54544,output_75530.txt
54544,output_80295.txt
54544,output_5071.txt
54544,output_96397.txt
54544,output_98050.txt
54544,output_57208.txt
54544,output_476447.txt
54544,output_468546.txt
54544,output_8685.txt
118457,output_75271.txt
118457,output_464398.txt
118457,output_486873.txt
118457,output_487062.txt
118457,output_54952.txt
118457,output_50626.txt
118457,output_462324.txt
118457,output_476621.txt
118457,output_501164.txt
118457,output_57612.txt
178627,output_479139.txt
178627,output_482176.txt
178627,output_53930.txt
178627,output_467605.txt
178627,output_495730.txt
178627,output_82952.txt
178627,output_50466.txt
178627,output_46259.txt
178627,output_52166.txt
178627,output_6134.txt
1101278,output_499345.txt
1101278,output_6739.txt
1101278,output_488574.txt
1101278,output_467239.txt
1101278,output_49830.txt
1101278,output_81786.txt
1101278,output_97243.txt
1101278,output_464899.txt
1101278,output_50419.txt
1101278,output_52740.txt
68095,output_52121.txt
68095,output_473567.txt
68095,output_53201.txt
68095,output_466925.txt
68095,output_59652.txt
68095,output_8492.txt
68095,output_491458.txt
68095,output_69825.txt
68095,output_57102.txt
68095,output_472210.txt
87892,output_488404.txt
87892,output_95979.txt
87892,output_499725.txt
87892,output_489283.txt
87892,output_475911.txt
87892,output_72047.txt
87892,output_494556.txt
87892,output_480473.txt
87892,output_484301.txt
87892,output_97210.txt
257309,output_464177.txt
257309,output_57695.txt
257309,output_490016.txt
257309,output_5164.txt
257309,output_71826.txt
257309,output_57723.txt
257309,output_77936.txt
257309,output_86371.txt
257309,output_82211.txt
257309,output_499834.txt
1090242,output_500552.txt
1090242,output_462397.txt
1090242,output_53465.txt
1090242,output_84238.txt
1090242,output_92915.txt
1090242,output_70369.txt
1090242,output_56460.txt
1090242,output_463434.txt
1090242,output_95153.txt
1090242,output_483983.txt
211691,output_76910.txt
211691,output_89448.txt
211691,output_86770.txt
211691,output_487215.txt
211691,output_5368.txt
211691,output_77088.txt
211691,output_468272.txt
211691,output_462198.txt
211691,output_501451.txt
211691,output_6378.txt
165002,output_468505.txt
165002,output_50962.txt
165002,output_488956.txt
165002,output_465996.txt
165002,output_477652.txt
165002,output_80502.txt
165002,output_58117.txt
165002,output_86619.txt
165002,output_47220.txt
165002,output_56677.txt
1101276,output_497585.txt
1101276,output_499368.txt
1101276,output_490013.txt
1101276,output_48256.txt
1101276,output_92207.txt
1101276,output_67332.txt
1101276,output_9179.txt
1101276,output_93650.txt
1101276,output_60237.txt
